country,internet_pct,mobile_per100,gdp_per_capita,literacy_rate,health_expenditure,maternal_mortality,country_name,region,income_level,data_count,income_group
AFE,30.4,93.1,1615.39635562849,73.6999969482422,,268.0,Africa Eastern and Southern,,,5,
AFW,42.4,86.5,1411.33702938476,61.1699981689453,,650.0,Africa Western and Central,,,5,
ARB,,,7583.81170078144,78.9899978637695,,121.0,Arab World,,,3,
ARE,,,50273.5060469837,98.8099975585938,,3.0,United Arab Emirates,MEA,HIC,3,High income
AUT,91.92573373,,58268.8787651601,,11.8325634,6.0,Austria,ECS,HIC,4,High income
AZE,90.80000181,,7283.8499076179,,,18.0,Azerbaijan,ECS,UMC,3,Upper middle income
BHR,,,29653.5682731534,97.8199996948242,,17.0,Bahrain,MEA,HIC,3,High income
BOL,,,4421.16609889999,96.7300033569336,,146.0,Bolivia,LCN,LMC,3,Lower middle income
BRA,,,10310.5488778166,94.7399978637695,,67.0,Brazil,LCN,UMC,3,Upper middle income
CAN,,,54340.3477224733,,11.3095665,12.0,Canada,NAC,HIC,3,High income
CEB,,,24604.8068595604,99.5,,6.0,Central Europe and the Baltics,,,3,
CHE,97.32103855,,103998.186685604,,,5.0,Switzerland,ECS,HIC,3,High income
CHL,,,16709.8893972307,,10.53092575,10.0,Chile,LCN,HIC,3,High income
CHN,91.6,,13303.1481543868,,,16.0,China,EAS,UMC,3,Upper middle income
COL,,,7919.20886825345,95.3399963378906,8.14139366,59.0,Colombia,LCN,UMC,4,Upper middle income
CPV,,,5192.48157325878,88.4700012207031,,40.0,Cabo Verde,SSF,UMC,3,Upper middle income
CZE,,,31823.3078290564,,8.50710297,3.0,Czechia,ECS,HIC,3,High income
DEU,,,56103.7323182554,,12.26655293,4.0,Germany,ECS,HIC,3,High income
DNK,,,71026.4832271897,,9.38812923,4.0,Denmark,ECS,HIC,3,High income
DOM,,,10875.6618443092,94.0299987792969,,124.0,Dominican Republic,LCN,UMC,3,Upper middle income
EAP,88.1,129.8,10396.7957405051,96.8499984741211,,68.0,East Asia & Pacific (excluding high income),,,5,
EAR,,,4450.18711937385,82.0999984741211,,104.0,Early-demographic dividend,,,3,
EAS,88.4,135.1,13405.735673015,96.6100006103516,,66.0,East Asia & Pacific,,,5,
ECA,87.5,117.3,9793.69205809432,99.0199966430664,,18.0,Europe & Central Asia (excluding high income),,,5,
ECS,92.4,134.6,31555.5207890657,,,11.0,Europe & Central Asia,,,4,
ECU,,,6874.705739766,93.4899978637695,,55.0,Ecuador,LCN,UMC,3,Upper middle income
EMU,,,46945.4188234427,,10.7750014368516,5.0,Euro area,,,3,
EST,,,31428.3547816104,,7.83648062,5.0,Estonia,ECS,HIC,3,High income
EUU,,,43304.9642561331,,10.5426441605532,5.0,European Union,,,3,
FCS,38.5,71.5,1527.95809514037,67.5800018310547,,458.0,Fragile and conflict affected situations,,,5,
FRA,,,46103.0840855884,,11.53530598,7.0,France,ECS,HIC,3,High income
GBR,,,53246.3676145108,,11.133358,8.0,United Kingdom,ECS,HIC,3,High income
GEO,,,9241.49122313713,99.6800003051758,,20.0,Georgia,ECS,UMC,3,Upper middle income
GTM,,,6150.02571438505,82.1100006103516,,94.0,Guatemala,LCN,UMC,3,Upper middle income
HIC,94.2,141.6,50302.6052129514,,,10.0,High income,,,4,
HND,,,3426.43483328923,88.25,,47.0,Honduras,LCN,LMC,3,Lower middle income
HPC,,,1216.37508472564,66.629997253418,,321.0,Heavily indebted poor countries (HIPC),,,3,
IBD,82.7,115.9,8219.91265703844,90.6900024414062,,67.0,IBRD only,,,5,
IBT,70.3,107.8,6327.1439970487,85.8199996948242,,202.0,IDA & IBRD total,,,5,
IDA,38.9,87.1,1485.92227405633,70.0500030517578,,352.0,IDA total,,,5,
IDB,44.2,84.2,1650.63788113049,69.1900024414062,,487.0,IDA blend,,,5,
IDX,36.1,88.6,1398.11181264033,70.9199981689453,,280.0,IDA only,,,5,
IND,70.0,,2694.73780859961,78.1625330351403,,80.0,India,SAS,LMC,4,Lower middle income
IRL,,,112894.953240805,,6.85410833,4.0,Ireland,ECS,HIC,3,High income
ISL,,,86040.5309851288,,8.98358727,3.0,Iceland,ECS,HIC,3,High income
ITA,,,40385.3413957669,,8.44437313,6.0,Italy,ECS,HIC,3,High income
JOR,,,4618.09592498567,94.4400024414062,,31.0,Jordan,MEA,LMC,3,Lower middle income
KOR,,,36238.639908315,,8.67656994,4.0,"Korea, Rep.",EAS,HIC,3,High income
KWT,100.0,,32717.7186631255,,,8.0,Kuwait,MEA,HIC,3,High income
LAC,83.6,117.7,10382.3911125152,94.7099990844727,,69.0,Latin America & Caribbean (excluding high income),,,5,
LCN,83.7,116.8,10737.6463538652,94.9499969482422,,77.0,Latin America & Caribbean,,,5,
LDC,33.7,86.3,1293.40100322932,68.3199996948242,,289.0,Least developed countries: UN classification,,,5,
LIC,23.4,69.3,751.322764042233,63.5699996948242,,346.0,Low income,,,5,
LKA,,,4515.56787322732,92.7399978637695,,18.0,Sri Lanka,SAS,LMC,3,Lower middle income
LMC,62.9,89.9,2544.49245457752,78.2799987792969,,235.0,Lower middle income,,,5,
LMY,,,6002.45120765259,85.6699981689453,,205.0,Low & middle income,,,3,
LSO,,,971.90771824829,90.4499969482422,,478.0,Lesotho,SSF,LMC,3,Lower middle income
LTE,,,12874.1679137972,96.8499984741211,,30.0,Late-demographic dividend,,,3,
LTU,,,29384.0189598663,,7.59519005,8.0,Lithuania,ECS,HIC,3,High income
LUX,99.12902211,,137781.681659123,,5.89136267,11.0,Luxembourg,ECS,HIC,4,High income
MEA,63.7,107.1,6265.44445247452,75.5899963378906,,47.0,"Middle East, North Africa, Afghanistan & Pakistan",,,5,
MEX,,,14185.7812248529,95.5500030517578,,42.0,Mexico,LCN,UMC,3,Upper middle income
MIC,,,6554.37054933497,87.8000030517578,,174.0,Middle income,,,3,
MKD,93.1,,9291.85661671864,,,3.0,North Macedonia,ECS,UMC,3,Upper middle income
MLI,,,1094.61949265799,35.6300010681152,,367.0,Mali,SSF,LIC,3,Low income
